"year","state","sex","births"
2000,"NY","boy",125974
2001,"NY","boy",128298
2002,"NY","boy",126109
2003,"NY","boy",126514
2004,"NY","boy",127391
2005,"NY","boy",125059
2006,"NY","boy",124714
1981,"OH","boy",86518
1982,"OH","boy",85848
1983,"OH","boy",84634
1984,"OH","boy",81553
1985,"OH","boy",82523
1986,"OH","boy",81514
1987,"OH","boy",80538
1988,"OH","boy",81124
1989,"OH","boy",82593
1990,"OH","boy",83692
1991,"OH","boy",82035
1992,"OH","boy",81955
1993,"OH","boy",79994
1994,"OH","boy",78478
1995,"OH","boy",77460
1996,"OH","boy",76469
1997,"OH","boy",76769
1998,"OH","boy",76113
1999,"OH","boy",75701
2000,"OH","boy",76518
2001,"OH","boy",79110
2002,"OH","boy",76028
2003,"OH","boy",76424
2004,"OH","boy",76916
2005,"OH","boy",74911
2006,"OH","boy",75188
1981,"OK","boy",26500
1982,"OK","boy",27477
1983,"OK","boy",28655
1984,"OK","boy",27873
1985,"OK","boy",28236
1986,"OK","boy",27506
1987,"OK","boy",26242
1988,"OK","boy",24851
1989,"OK","boy",24158
1990,"OK","boy",23853
1991,"OK","boy",23783
1992,"OK","boy",23785
1993,"OK","boy",23120
1994,"OK","boy",22734
1995,"OK","boy",22526
1996,"OK","boy",22894
1997,"OK","boy",23935
1998,"OK","boy",24355
1999,"OK","boy",24357
2000,"OK","boy",24629
2001,"OK","boy",24422
2002,"OK","boy",25139
2003,"OK","boy",25379
2004,"OK","boy",25584
2005,"OK","boy",26331
2006,"OK","boy",27354
1981,"OR","boy",22628
1982,"OR","boy",22392
1983,"OR","boy",21886
1984,"OR","boy",20960
1985,"OR","boy",21033
1986,"OR","boy",20598
1987,"OR","boy",20193
1988,"OR","boy",20339
1989,"OR","boy",20984
1990,"OR","boy",22257
1991,"OR","boy",21655
1992,"OR","boy",21363
1993,"OR","boy",20978
1994,"OR","boy",21249
1995,"OR","boy",21716
1996,"OR","boy",21829
1997,"OR","boy",22252
1998,"OR","boy",22375
1999,"OR","boy",22549
2000,"OR","boy",22928
2001,"OR","boy",23342
2002,"OR","boy",23139
2003,"OR","boy",23250
2004,"OR","boy",22989
2005,"OR","boy",23238
2006,"OR","boy",24535
1981,"PA","boy",81545
1982,"PA","boy",81588
1983,"PA","boy",81161
1984,"PA","boy",78677
1985,"PA","boy",80368
1986,"PA","boy",80883
1987,"PA","boy",80855
1988,"PA","boy",81976
1989,"PA","boy",83969
1990,"PA","boy",85993
1991,"PA","boy",83603
1992,"PA","boy",82603
1993,"PA","boy",80671
1994,"PA","boy",78393
1995,"PA","boy",76238
1996,"PA","boy",73506
1997,"PA","boy",72651
1998,"PA","boy",72063
1999,"PA","boy",71918
2000,"PA","boy",72882
2001,"PA","boy",74557
2002,"PA","boy",72992
2003,"PA","boy",73848
2004,"PA","boy",74659
2005,"PA","boy",73849
2006,"PA","boy",74279
1981,"RI","boy",6373
1982,"RI","boy",6429
1983,"RI","boy",6433
1984,"RI","boy",6291
1985,"RI","boy",6557
1986,"RI","boy",6700
1987,"RI","boy",6857
1988,"RI","boy",7059
1989,"RI","boy",7274
1990,"RI","boy",7571
1991,"RI","boy",7439
1992,"RI","boy",7353
1993,"RI","boy",7219
1994,"RI","boy",6927
1995,"RI","boy",6805
1996,"RI","boy",6704
1997,"RI","boy",6609
1998,"RI","boy",6374
1999,"RI","boy",6212
2000,"RI","boy",6249
2001,"RI","boy",6453
2002,"RI","boy",6440
2003,"RI","boy",6501
2004,"RI","boy",6748
2005,"RI","boy",6251
2006,"RI","boy",6333
1981,"SC","boy",26237
1982,"SC","boy",26308
1983,"SC","boy",26160
1984,"SC","boy",25556
1985,"SC","boy",26205
1986,"SC","boy",26333
1987,"SC","boy",26353
1988,"SC","boy",26852
1989,"SC","boy",27860
1990,"SC","boy",28292
1991,"SC","boy",28553
1992,"SC","boy",27913
1993,"SC","boy",26932
1994,"SC","boy",26056
1995,"SC","boy",25580
1996,"SC","boy",25593
1997,"SC","boy",26168
1998,"SC","boy",26799
1999,"SC","boy",27364
2000,"SC","boy",27986
2001,"SC","boy",28717
2002,"SC","boy",28301
2003,"SC","boy",28093
2004,"SC","boy",28901
2005,"SC","boy",29683
2006,"SC","boy",30350
1981,"SD","boy",6655
1982,"SD","boy",6678
1983,"SD","boy",6648
1984,"SD","boy",6432
1985,"SD","boy",6454
1986,"SD","boy",6282
1987,"SD","boy",6061
1988,"SD","boy",5938
1989,"SD","boy",5841
1990,"SD","boy",5726
1991,"SD","boy",5461
1992,"SD","boy",5524
1993,"SD","boy",5342
1994,"SD","boy",5225
1995,"SD","boy",5161
1996,"SD","boy",5143
1997,"SD","boy",5116
1998,"SD","boy",5054
1999,"SD","boy",5143
2000,"SD","boy",5298
2001,"SD","boy",5145
2002,"SD","boy",5143
2003,"SD","boy",5324
2004,"SD","boy",5662
2005,"SD","boy",5856
2006,"SD","boy",5859
1981,"TN","boy",35877
1982,"TN","boy",35612
1983,"TN","boy",34918
1984,"TN","boy",33610
1985,"TN","boy",33955
1986,"TN","boy",33855
1987,"TN","boy",33792
1988,"TN","boy",34610
1989,"TN","boy",35736
1990,"TN","boy",36650
1991,"TN","boy",36984
1992,"TN","boy",36980
1993,"TN","boy",36629
1994,"TN","boy",36590
1995,"TN","boy",36541
1996,"TN","boy",36294
1997,"TN","boy",36910
1998,"TN","boy",37713
1999,"TN","boy",38272
2000,"TN","boy",39004
2001,"TN","boy",40725
2002,"TN","boy",39524
2003,"TN","boy",39712
2004,"TN","boy",40699
2005,"TN","boy",41039
2006,"TN","boy",42026
1981,"TX","boy",137113
1982,"TX","boy",143065
1983,"TX","boy",146022
1984,"TX","boy",144765
1985,"TX","boy",150347
1986,"TX","boy",151914
1987,"TX","boy",149857
1988,"TX","boy",148308
1989,"TX","boy",148000
1990,"TX","boy",152216
1991,"TX","boy",158593
1992,"TX","boy",160155
1993,"TX","boy",160366
1994,"TX","boy",160111
1995,"TX","boy",160554
1996,"TX","boy",162824
1997,"TX","boy",164676
1998,"TX","boy",167782
1999,"TX","boy",169859
2000,"TX","boy",172259
2001,"TX","boy",186675
2002,"TX","boy",188482
2003,"TX","boy",191190
2004,"TX","boy",194514
2005,"TX","boy",196180
2006,"TX","boy",202863
1981,"UT","boy",22592
1982,"UT","boy",22589
1983,"UT","boy",22305
1984,"UT","boy",21049
1985,"UT","boy",20759
1986,"UT","boy",20007
1987,"UT","boy",19299
1988,"UT","boy",18698
1989,"UT","boy",18420
1990,"UT","boy",18667
1991,"UT","boy",18343
1992,"UT","boy",18644
1993,"UT","boy",18925
1994,"UT","boy",19437
1995,"UT","boy",20145
1996,"UT","boy",20933
1997,"UT","boy",21909
1998,"UT","boy",22410
1999,"UT","boy",22843
2000,"UT","boy",23272
2001,"UT","boy",24065
2002,"UT","boy",24512
2003,"UT","boy",25031
2004,"UT","boy",25432
2005,"UT","boy",25503
2006,"UT","boy",27017
1981,"VA","boy",40243
1982,"VA","boy",40695
1983,"VA","boy",40923
1984,"VA","boy",40288
1985,"VA","boy",41999
1986,"VA","boy",43025
1987,"VA","boy",44154
1988,"VA","boy",45634
1989,"VA","boy",47491
1990,"VA","boy",49174
1991,"VA","boy",48554
1992,"VA","boy",48156
1993,"VA","boy",47266
1994,"VA","boy",46694
1995,"VA","boy",45991
1996,"VA","boy",45369
1997,"VA","boy",45677
1998,"VA","boy",46247
1999,"VA","boy",47014
2000,"VA","boy",48127
2001,"VA","boy",50171
2002,"VA","boy",50307
2003,"VA","boy",50424
2004,"VA","boy",52965
2005,"VA","boy",53170
2006,"VA","boy",53606
1981,"VT","boy",4052
1982,"VT","boy",4078
1983,"VT","boy",4099
1984,"VT","boy",4018
1985,"VT","boy",4135
1986,"VT","boy",4148
1987,"VT","boy",4144
1988,"VT","boy",4196
1989,"VT","boy",4276
1990,"VT","boy",4425
1991,"VT","boy",4081
1992,"VT","boy",3917
1993,"VT","boy",3787
1994,"VT","boy",3697
1995,"VT","boy",3540
1996,"VT","boy",3423
1997,"VT","boy",3353
1998,"VT","boy",3283
1999,"VT","boy",3301
2000,"VT","boy",3360
2001,"VT","boy",3398
2002,"VT","boy",3279
2003,"VT","boy",3443
2004,"VT","boy",3490
2005,"VT","boy",3317
2006,"VT","boy",3134
1981,"WA","boy",35917
1982,"WA","boy",36229
1983,"WA","boy",36135
1984,"WA","boy",35113
1985,"WA","boy",36153
1986,"WA","boy",36106
1987,"WA","boy",36177
1988,"WA","boy",36946
1989,"WA","boy",38256
1990,"WA","boy",40699
1991,"WA","boy",40341
1992,"WA","boy",40227
1993,"WA","boy",39446
1994,"WA","boy",38997
1995,"WA","boy",38851
1996,"WA","boy",38663
1997,"WA","boy",39647
1998,"WA","boy",39992
1999,"WA","boy",39688
2000,"WA","boy",40310
2001,"WA","boy",40740
2002,"WA","boy",39774
2003,"WA","boy",40205
2004,"WA","boy",41589
2005,"WA","boy",41653
2006,"WA","boy",44068
1981,"WI","boy",38951
1982,"WI","boy",38728
1983,"WI","boy",37948
1984,"WI","boy",36679
1985,"WI","boy",37320
1986,"WI","boy",37175
1987,"WI","boy",36764
1988,"WI","boy",36845
1989,"WI","boy",37162
1990,"WI","boy",37735
1991,"WI","boy",35419
1992,"WI","boy",34734
1993,"WI","boy",33706
1994,"WI","boy",32746
1995,"WI","boy",31879
1996,"WI","boy",30985
1997,"WI","boy",30675
1998,"WI","boy",31602
1999,"WI","boy",33869
2000,"WI","boy",35044
2001,"WI","boy",35447
2002,"WI","boy",35135
2003,"WI","boy",35712
2004,"WI","boy",36093
2005,"WI","boy",35745
2006,"WI","boy",36397
1981,"WV","boy",15434
1982,"WV","boy",14988
1983,"WV","boy",14447
1984,"WV","boy",13465
1985,"WV","boy",13069
1986,"WV","boy",12498
1987,"WV","boy",11862
1988,"WV","boy",11428
1989,"WV","boy",11180
1990,"WV","boy",11100
1991,"WV","boy",11154
1992,"WV","boy",11186
1993,"WV","boy",10958
1994,"WV","boy",10744
1995,"WV","boy",10671
1996,"WV","boy",10390
1997,"WV","boy",10241
1998,"WV","boy",10158
1999,"WV","boy",10193
2000,"WV","boy",10283
2001,"WV","boy",10681
2002,"WV","boy",10798
2003,"WV","boy",10760
2004,"WV","boy",10961
2005,"WV","boy",10495
2006,"WV","boy",10543
1981,"WY","boy",5536
1982,"WY","boy",5692
1983,"WY","boy",5742
1984,"WY","boy",5409
1985,"WY","boy",5281
1986,"WY","boy",5013
1987,"WY","boy",4511
1988,"WY","boy",4058
1989,"WY","boy",3756
1990,"WY","boy",3630
1991,"WY","boy",3423
1992,"WY","boy",3387
1993,"WY","boy",3330
1994,"WY","boy",3289
1995,"WY","boy",3242
1996,"WY","boy",3277
1997,"WY","boy",3252
1998,"WY","boy",3185
1999,"WY","boy",3178
2000,"WY","boy",3230
2001,"WY","boy",3201
2002,"WY","boy",3371
2003,"WY","boy",3441
2004,"WY","boy",3481
2005,"WY","boy",3503
2006,"WY","boy",3702
1981,"AK","girl",4558
1982,"AK","girl",4937
1983,"AK","girl",5439
1984,"AK","girl",5666
1985,"AK","girl",6149
1986,"AK","girl",6312
1987,"AK","girl",6195
1988,"AK","girl",5980
1989,"AK","girl",5902
1990,"AK","girl",5875
1991,"AK","girl",5578
1992,"AK","girl",5386
1993,"AK","girl",5141
1994,"AK","girl",4858
1995,"AK","girl",4620
1996,"AK","girl",4512
1997,"AK","girl",4492
1998,"AK","girl",4474
1999,"AK","girl",4427
2000,"AK","girl",4481
2001,"AK","girl",4472
2002,"AK","girl",4605
2003,"AK","girl",4602
2004,"AK","girl",4911
2005,"AK","girl",5015
2006,"AK","girl",5174
1981,"AL","girl",30710
1982,"AL","girl",30248
1983,"AL","girl",29526
1984,"AL","girl",28395
1985,"AL","girl",28792
1986,"AL","girl",28617
1987,"AL","girl",28471
1988,"AL","girl",28625
1989,"AL","girl",29098
1990,"AL","girl",29036
1991,"AL","girl",29344
1992,"AL","girl",29492
1993,"AL","girl",29013
1994,"AL","girl",28573
1995,"AL","girl",28330
1996,"AL","girl",27966
1997,"AL","girl",28472
1998,"AL","girl",28467
1999,"AL","girl",28712
2000,"AL","girl",29243
2001,"AL","girl",30356
2002,"AL","girl",29369
2003,"AL","girl",28592
2004,"AL","girl",29419
2005,"AL","girl",29598
2006,"AL","girl",30190
1981,"AR","girl",18067
1982,"AR","girl",17747
1983,"AR","girl",17332
1984,"AR","girl",16718
1985,"AR","girl",16920
1986,"AR","girl",16697
1987,"AR","girl",16599
1988,"AR","girl",16643
1989,"AR","girl",16851
1990,"AR","girl",16898
1991,"AR","girl",16907
1992,"AR","girl",16863
1993,"AR","girl",16421
1994,"AR","girl",16553
1995,"AR","girl",16978
1996,"AR","girl",17219
1997,"AR","girl",17244
1998,"AR","girl",17364
1999,"AR","girl",17501
2000,"AR","girl",17851
2001,"AR","girl",18114
2002,"AR","girl",18521
2003,"AR","girl",18172
2004,"AR","girl",18663
2005,"AR","girl",19263
2006,"AR","girl",19842
1981,"AZ","girl",23912
1982,"AZ","girl",24577
1983,"AZ","girl",25151
1984,"AZ","girl",25307
1985,"AZ","girl",26888
1986,"AZ","girl",27574
1987,"AZ","girl",28399
1988,"AZ","girl",29318
1989,"AZ","girl",30728
1990,"AZ","girl",31775
1991,"AZ","girl",32883
1992,"AZ","girl",32897
1993,"AZ","girl",33027
1994,"AZ","girl",33345
1995,"AZ","girl",34774
1996,"AZ","girl",35420
1997,"AZ","girl",35558
1998,"AZ","girl",36786
1999,"AZ","girl",37892
2000,"AZ","girl",38529
2001,"AZ","girl",41575
2002,"AZ","girl",42207
2003,"AZ","girl",43594
2004,"AZ","girl",44874
2005,"AZ","girl",47519
2006,"AZ","girl",48683
1981,"CA","girl",194249
1982,"CA","girl",201912
1983,"CA","girl",208433
1984,"CA","girl",209028
1985,"CA","girl",220627
1986,"CA","girl",226496
1987,"CA","girl",231796
1988,"CA","girl",240810
1989,"CA","girl",254313
1990,"CA","girl",274146
1991,"CA","girl",292017
1992,"CA","girl",285083
1993,"CA","girl",274900
1994,"CA","girl",266831
1995,"CA","girl",257831
1996,"CA","girl",249343
1997,"CA","girl",242002
1998,"CA","girl",237508
1999,"CA","girl",236632
2000,"CA","girl",238996
2001,"CA","girl",254021
2002,"CA","girl",252110
2003,"CA","girl",257472
2004,"CA","girl",259379
2005,"CA","girl",261753
2006,"CA","girl",268336
1981,"CO","girl",24490
1982,"CO","girl",25314
1983,"CO","girl",25993
1984,"CO","girl",25644
1985,"CO","girl",26488
1986,"CO","girl",26552
1987,"CO","girl",26280
1988,"CO","girl",25839
1989,"CO","girl",25670
1990,"CO","girl",26167
1991,"CO","girl",25967
1992,"CO","girl",26262
1993,"CO","girl",25871
1994,"CO","girl",25740
1995,"CO","girl",26051
1996,"CO","girl",26548
1997,"CO","girl",27321
1998,"CO","girl",28301
1999,"CO","girl",29326
2000,"CO","girl",30170
2001,"CO","girl",33206
2002,"CO","girl",32561
2003,"CO","girl",33016
2004,"CO","girl",32897
2005,"CO","girl",33126
2006,"CO","girl",34067
1981,"CT","girl",19207
1982,"CT","girl",19376
1983,"CT","girl",19603
1984,"CT","girl",19384
1985,"CT","girl",20371
1986,"CT","girl",21030
1987,"CT","girl",21534
1988,"CT","girl",22370
1989,"CT","girl",23352
1990,"CT","girl",24212
1991,"CT","girl",23293
1992,"CT","girl",22928
1993,"CT","girl",22401
1994,"CT","girl",21893
1995,"CT","girl",21562
1996,"CT","girl",21119
1997,"CT","girl",20844
1998,"CT","girl",20788
1999,"CT","girl",20845
2000,"CT","girl",21110
2001,"CT","girl",20831
2002,"CT","girl",20703
2003,"CT","girl",21011
2004,"CT","girl",20761
2005,"CT","girl",20552
2006,"CT","girl",20125
1981,"DC","girl",3822
1982,"DC","girl",3909
1983,"DC","girl",3951
1984,"DC","girl",3998
1985,"DC","girl",4253
1986,"DC","girl",4335
1987,"DC","girl",4392
1988,"DC","girl",4408
1989,"DC","girl",4526
1990,"DC","girl",4325
1991,"DC","girl",4358
1992,"DC","girl",4122
1993,"DC","girl",3987
1994,"DC","girl",3840
1995,"DC","girl",3544
1996,"DC","girl",3301
1997,"DC","girl",3202
1998,"DC","girl",3066
1999,"DC","girl",3147
2000,"DC","girl",3239
2001,"DC","girl",3670
2002,"DC","girl",3657
2003,"DC","girl",3328
2004,"DC","girl",3814
2005,"DC","girl",3966
2006,"DC","girl",3912
1981,"DE","girl",4397
1982,"DE","girl",4491
1983,"DE","girl",4526
1984,"DE","girl",4447
1985,"DE","girl",4602
1986,"DE","girl",4653
1987,"DE","girl",4680
1988,"DE","girl",4798
1989,"DE","girl",4986
1990,"DE","girl",5227
1991,"DE","girl",5271
1992,"DE","girl",5154
1993,"DE","girl",4982
1994,"DE","girl",4908
1995,"DE","girl",4815
1996,"DE","girl",4757
1997,"DE","girl",4810
1998,"DE","girl",4876
1999,"DE","girl",4949
2000,"DE","girl",5046
2001,"DE","girl",5268
2002,"DE","girl",5265
2003,"DE","girl",5474
2004,"DE","girl",5571
2005,"DE","girl",5772
2006,"DE","girl",5823
1981,"FL","girl",64024
1982,"FL","girl",66296
1983,"FL","girl",68124
1984,"FL","girl",68980
1985,"FL","girl",73780
1986,"FL","girl",76862
1987,"FL","girl",79390
1988,"FL","girl",82965
1989,"FL","girl",87294
1990,"FL","girl",92103
1991,"FL","girl",93871
1992,"FL","girl",92002
1993,"FL","girl",91587
1994,"FL","girl",90507
1995,"FL","girl",89050
1996,"FL","girl",89051
1997,"FL","girl",90167
1998,"FL","girl",90744
1999,"FL","girl",91832
2000,"FL","girl",92938
2001,"FL","girl",101302
2002,"FL","girl",101289
2003,"FL","girl",102227
2004,"FL","girl",106131
2005,"FL","girl",111070
2006,"FL","girl",116263
1981,"GA","girl",44471
1982,"GA","girl",44868
1983,"GA","girl",44672
1984,"GA","girl",43880
1985,"GA","girl",45665
1986,"GA","girl",46435
1987,"GA","girl",47429
1988,"GA","girl",49048
1989,"GA","girl",51414
1990,"GA","girl",52567
1991,"GA","girl",52483
1992,"GA","girl",52712
1993,"GA","girl",52308
1994,"GA","girl",52178
1995,"GA","girl",52431
1996,"GA","girl",52922
1997,"GA","girl",54564
1998,"GA","girl",56262
1999,"GA","girl",58351
2000,"GA","girl",60042
2001,"GA","girl",66371
2002,"GA","girl",65474
2003,"GA","girl",65867
2004,"GA","girl",68288
2005,"GA","girl",69422
2006,"GA","girl",71885
1981,"HI","girl",8769
1982,"HI","girl",8846
1983,"HI","girl",8998
1984,"HI","girl",8793
1985,"HI","girl",8961
1986,"HI","girl",8803
1987,"HI","girl",8730
1988,"HI","girl",8879
1989,"HI","girl",9034
1990,"HI","girl",9170
1991,"HI","girl",9375
1992,"HI","girl",9271
1993,"HI","girl",9087
1994,"HI","girl",8855
1995,"HI","girl",8480
1996,"HI","girl",8071
1997,"HI","girl",7754
1998,"HI","girl",7607
1999,"HI","girl",7572
2000,"HI","girl",7455
2001,"HI","girl",6960
2002,"HI","girl",7236
2003,"HI","girl",7193
2004,"HI","girl",8081
2005,"HI","girl",8099
2006,"HI","girl",8963
1981,"IA","girl",23723
1982,"IA","girl",23344
1983,"IA","girl",22615
1984,"IA","girl",21505
1985,"IA","girl",21216
1986,"IA","girl",20357
1987,"IA","girl",19473
1988,"IA","girl",19154
1989,"IA","girl",19183
1990,"IA","girl",19306
1991,"IA","girl",18610
1992,"IA","girl",18551
1993,"IA","girl",18142
1994,"IA","girl",17807
1995,"IA","girl",17658
1996,"IA","girl",17707
1997,"IA","girl",17849
1998,"IA","girl",17890
1999,"IA","girl",18000
2000,"IA","girl",18368
2001,"IA","girl",18820
2002,"IA","girl",18250
2003,"IA","girl",18971
2004,"IA","girl",18698
2005,"IA","girl",18621
2006,"IA","girl",19429
1981,"ID","girl",10109
1982,"ID","girl",10059
1983,"ID","girl",9829
1984,"ID","girl",9306
1985,"ID","girl",9164
1986,"ID","girl",8771
1987,"ID","girl",8286
1988,"ID","girl",8000
1989,"ID","girl",7907
1990,"ID","girl",8091
1991,"ID","girl",7979
1992,"ID","girl",8240
1993,"ID","girl",8384
1994,"ID","girl",8430
1995,"ID","girl",8629
1996,"ID","girl",8886
1997,"ID","girl",9040
1998,"ID","girl",9291
1999,"ID","girl",9518
2000,"ID","girl",9748
2001,"ID","girl",10328
2002,"ID","girl",10386
2003,"ID","girl",10504
2004,"ID","girl",10806
2005,"ID","girl",11173
2006,"ID","girl",11683
1981,"IL","girl",91300
1982,"IL","girl",91249
1983,"IL","girl",90290
1984,"IL","girl",87777
1985,"IL","girl",88888
1986,"IL","girl",88024
1987,"IL","girl",86867
1988,"IL","girl",86931
1989,"IL","girl",88411
1990,"IL","girl",90624
1991,"IL","girl",91723
1992,"IL","girl",91876
1993,"IL","girl",90168
1994,"IL","girl",89337
1995,"IL","girl",88052
1996,"IL","girl",86018
1997,"IL","girl",85370
1998,"IL","girl",84424
1999,"IL","girl",84834
2000,"IL","girl",86035
2001,"IL","girl",89981
2002,"IL","girl",88023
2003,"IL","girl",87550
2004,"IL","girl",88457
2005,"IL","girl",86070
2006,"IL","girl",87349
1981,"IN","girl",43098
1982,"IN","girl",42432
1983,"IN","girl",41246
1984,"IN","girl",39455
1985,"IN","girl",39666
1986,"IN","girl",39091
1987,"IN","girl",38643
1988,"IN","girl",38877
1989,"IN","girl",39875
1990,"IN","girl",40452
1991,"IN","girl",40213
1992,"IN","girl",40468
1993,"IN","girl",39835
1994,"IN","girl",39629
1995,"IN","girl",39725
1996,"IN","girl",39556
1997,"IN","girl",40201
1998,"IN","girl",40458
1999,"IN","girl",40941
2000,"IN","girl",41713
2001,"IN","girl",43249
2002,"IN","girl",41811
2003,"IN","girl",42045
2004,"IN","girl",42508
2005,"IN","girl",41974
2006,"IN","girl",42300
2005,"KR","girl",2040
1981,"KS","girl",19699
1982,"KS","girl",19867
1983,"KS","girl",19741
1984,"KS","girl",19137
1985,"KS","girl",19439
1986,"KS","girl",19049
1987,"KS","girl",18762
1988,"KS","girl",18647
1989,"KS","girl",18764
1990,"KS","girl",18673
1991,"KS","girl",17874
1992,"KS","girl",17917
1993,"KS","girl",17530
1994,"KS","girl",17471
1995,"KS","girl",17313
1996,"KS","girl",17139
1997,"KS","girl",17576
1998,"KS","girl",17876
1999,"KS","girl",18099
2000,"KS","girl",18426
2001,"KS","girl",19011
2002,"KS","girl",19019
2003,"KS","girl",19301
2004,"KS","girl",19053
2005,"KS","girl",19023
2006,"KS","girl",19149
1981,"KY","girl",29146
1982,"KY","girl",28743
1983,"KY","girl",27949
1984,"KY","girl",26709
1985,"KY","girl",26606
1986,"KY","girl",25887
1987,"KY","girl",25168
1988,"KY","girl",24762
1989,"KY","girl",24828
1990,"KY","girl",25107
1991,"KY","girl",25258
1992,"KY","girl",25547
1993,"KY","girl",25151
1994,"KY","girl",25257
1995,"KY","girl",25213
1996,"KY","girl",25078
1997,"KY","girl",25687
1998,"KY","girl",25585
